type,lesson,url,name,local_path,status,size_bytes
resource,Budget Shot,https://www.vfxapprentice.com/courses/downloads/2154130362/fx_gif_harmony-project-zip,FX_gif_Harmony-project.zip,Hand-Drawn 2D FX_ Level 2/2D FX Meme Lab - Production Styles/FX_gif_Harmony-project.zip,ALREADY_EXISTS_ZIP,419812191
video,Polish and Closure,https://embed-ssl.wistia.com/deliveries/5d90c4ef84e769c5fd6c4eb96a9d4f90820ea54f.bin,Polish and Closure.mp4,Hand-Drawn 2D FX_ Level 2/2D FX Meme Lab - Production Styles/Polish and Closure.mp4,ALREADY_EXISTS_MP4,39477612
video,Summary,https://embed-ssl.wistia.com/deliveries/5ed051be041a4ca688c7c94a2f5c318c0dd5843c.bin,Summary.mp4,Hand-Drawn 2D FX_ Level 2/2D FX Meme Lab - Production Styles/Summary.mp4,ALREADY_EXISTS_MP4,28939958
video,Intro to Unity: Fire,https://embed-ssl.wistia.com/deliveries/79d15b9cc680f7eb4fbc77d04a5c826dceb9a532.bin,Intro to Unity_ Fire.mp4,Hand-Crafted 3D VFX_ Level 1/Block-in VFX - Unity/Intro to Unity_ Fire.mp4,ALREADY_EXISTS_MP4,327507828
video,Hit Impact,https://embed-ssl.wistia.com/deliveries/86dcef9c9b564138e418226f53894833a43435c4.bin,Hit Impact.mp4,Hand-Crafted 3D VFX_ Level 1/Block-in VFX - Unity/Hit Impact.mp4,ALREADY_EXISTS_MP4,132558067
video,Healing Loop,https://embed-ssl.wistia.com/deliveries/4e37f021e31b7ec015b4f7bab7c57f6e2f6bdf1c.bin,Healing Loop.mp4,Hand-Crafted 3D VFX_ Level 1/Block-in VFX - Unity/Healing Loop.mp4,ALREADY_EXISTS_MP4,265336673
video,Explosion,https://embed-ssl.wistia.com/deliveries/c6b02e3011dbe2b694685c7153c2dc4a443514c6.bin,Explosion.mp4,Hand-Crafted 3D VFX_ Level 1/Block-in VFX - Unity/Explosion.mp4,ALREADY_EXISTS_MP4,426031788
video,Missile,https://embed-ssl.wistia.com/deliveries/2f2d9f95a4a266e63e4db4f56f33aeb0d1778c0b.bin,Missile.mp4,Hand-Crafted 3D VFX_ Level 1/Block-in VFX - Unity/Missile.mp4,ALREADY_EXISTS_MP4,305534887
resource,Project Download,https://www.vfxapprentice.com/courses/downloads/2156276815/vfxa_foundations_es_ue5-zip,VFXA_Foundations_UE5.zip,Hand-Crafted 3D VFX_ Level 1/Project - Download/VFXA_Foundations_ES_UE5.zip,ALREADY_EXISTS_ZIP,67197300
resource,Project Download,https://www.vfxapprentice.com/courses/downloads/2156139679/vfxa_foundations_unity-zip,VFXA_Foundations_Unity.zip,Hand-Crafted 3D VFX_ Level 1/Project - Download/VFXA_Foundations_Unity.zip,ALREADY_EXISTS_ZIP,35463197
